Plotname;Plotid;Corner;Status;Location;Longitude;Latitude;utm_x;utm_y
HEG41;H888;NW;EP;Grassland;10.3665571542393;51.2212510802252;595432.055157312;5675316.59435055
HEG41;H888;SE;EP;Grassland;10.3672763585607;51.2208006297748;595483.209998734;5675267.43795512
HEG41;H888;SW;EP;Grassland;10.3665571542393;51.2208006297748;595432.986690389;5675266.50371187
HEG42;H13708;NE;EP;Grassland;10.4651423855302;51.0696665934252;602652.075748003;5658593.22041637
HEG42;H13708;NW;EP;Grassland;10.4644255392698;51.0696665934252;602601.853735222;5658592.22140676
HEG42;H13708;SE;EP;Grassland;10.4651423855302;51.0692161429748;602653.072351709;5658543.13145568
HEG42;H13708;SW;EP;Grassland;10.4644255392698;51.0692161429748;602602.849851177;5658542.13244271
HEG43;H19577;NE;EP;Grassland;10.4361780433723;51.3021961304252;600117.715513872;5684410.50091865
HEG43;H19577;NW;EP;Grassland;10.4354575714277;51.3021961304252;600067.492824678;5684409.51845749
HEG43;H19577;SE;EP;Grassland;10.4361780433723;51.3017456799748;600118.69564123;5684360.40994665
HEG43;H19577;SW;EP;Grassland;10.4354575714277;51.3017456799748;600068.472460206;5684359.42748205
HEG44;H20215;NE;EP;Grassland;10.4799907816731;51.0554235387252;603724.177246361;5657030.23537566
HEG44;H20215;NW;EP;Grassland;10.4792741559269;51.0554235387252;603673.955336411;5657029.22643933
HEG44;H20215;SE;EP;Grassland;10.4799907816731;51.0549730882748;603725.183748682;5656980.14659949
HEG44;H20215;SW;EP;Grassland;10.4792741559269;51.0549730882748;603674.961351226;5656979.13765977
HEG45;H20258;NE;EP;Grassland;10.508892228413;51.0397586246252;605785.301256383;5655329.44722006
HEG45;H20258;NW;EP;Grassland;10.508175844987;51.0397586246252;605735.079520248;5655328.41879808
HEG45;H20258;SE;EP;Grassland;10.508892228413;51.0393081741748;605786.327190662;5655279.3587074
HEG45;H20258;SW;EP;Grassland;10.508175844987;51.0393081741748;605736.104967284;5655278.33028197
HEG46;H30915;NE;EP;Grassland;10.7539076939166;51.2071202866252;622518.156873817;5674319.64549719
HEG46;H30915;NW;EP;Grassland;10.7531887102834;51.2071202866252;622467.936067683;5674318.44714623
