Plotname;Plotid;Corner;Status;Location;Longitude;Latitude;utm_x;utm_y
SEG22;S999;SE;EP;Grassland;13.9741774592484;53.1006111051748;832925.527911524;5895032.13782443
SEG22;S999;SW;EP;Grassland;13.9734272193516;53.1006111051748;832875.349166701;5895028.64558795
SEG23;S612;NE;EP;Grassland;14.0262794946894;53.1078881481252;836353.381593308;5896084.60843332
SEG23;S612;NW;EP;Grassland;14.0255291357106;53.1078881481252;836303.204525087;5896081.07920829
SEG23;S612;SE;EP;Grassland;14.0262794946894;53.1074376976748;836356.902539202;5896034.55268271
SEG23;S612;SW;EP;Grassland;14.0255291357106;53.1074376976748;836306.724943779;5896031.02344142
SEG24;S761;NE;EP;Grassland;13.9964557464579;53.0932628030252;834472.660733684;5894319.49899866
SEG24;S761;NW;EP;Grassland;13.9957056425421;53.0932628030252;834422.482967214;5894315.99144656
SEG24;S761;SE;EP;Grassland;13.9964557464579;53.0928123525748;834476.160053174;5894269.44263409
SEG24;S761;SW;EP;Grassland;13.9957056425421;53.0928123525748;834425.981759809;5894265.93506586
SEG25;S1007;NE;EP;Grassland;13.6183660258607;53.1108535103252;809052.271843595;5894573.54178484
SEG25;S1007;NW;EP;Grassland;13.6176156151393;53.1108535103252;809002.086293783;5894570.2996284
SEG25;S1007;SE;EP;Grassland;13.6183660258607;53.1104030598748;809055.506416675;5894523.47755595
SEG25;S1007;SW;EP;Grassland;13.6176156151393;53.1104030598748;809005.32033997;5894520.2353846
SEG26;S1022;NE;EP;Grassland;14.0188100329123;53.1060565788252;835868.187343579;5895845.96872297
SEG26;S1022;NW;EP;Grassland;14.0180597058877;53.1060565788252;835818.010106574;5895842.44484275
SEG26;S1022;SE;EP;Grassland;14.0188100329123;53.1056061283748;835871.702956851;5895795.91281433
SEG26;S1022;SW;EP;Grassland;14.0180597058877;53.1056061283748;835821.525192686;5895792.38891788
SEG27;S1051;NE;EP;Grassland;13.7077562927617;53.1230093355252;814941.367406307;5896314.51421082
SEG27;S1051;NW;EP;Grassland;13.7070056698383;53.1230093355252;814891.18368943;5896311.20860936
SEG27;S1051;SE;EP;Grassland;13.7077562927617;53.1225588850748;814944.665275549;5896264.45174187
SEG27;S1051;SW;EP;Grassland;13.7070056698383;53.1225588850748;814894.481031471;5896261.14612518
SEG28;S1042;NE;EP;Grassland;14.0064553173889;53.0933466760252;835140.921810889;5894375.62868546
SEG28;S1042;NW;EP;Grassland;14.0057052120111;53.0933466760252;835090.744260404;5894372.1140884
SEG28;S1042;SE;EP;Grassland;14.0064553173889;53.0928962255748;835144.42815831;5894325.57253588
